driver_id,time,latitude,longitude
156,2014-02-01 00:00:00.739166+01,41.883671828,12.48777756
187,2014-02-01 00:00:01.148457+01,41.928543333,12.469036667
297,2014-02-01 00:00:01.220066+01,41.891068612,12.492704563
89,2014-02-01 00:00:01.470854+01,41.793176691,12.43212196
79,2014-02-01 00:00:01.631136+01,41.90027472,12.46274618
191,2014-02-01 00:00:02.048546+01,41.852304758,12.577406577
343,2014-02-01 00:00:02.647839+01,41.892171826,12.469699617
341,2014-02-01 00:00:02.709888+01,41.910212563,12.477000434
260,2014-02-01 00:00:03.458195+01,41.865820855,12.465522111
59,2014-02-01 00:00:03.707117+01,41.896783164,12.482198702
122,2014-02-01 00:00:04.232912+01,41.923087488,12.502203541
311,2014-02-01 00:00:04.436445+01,41.90681379,12.4902084
351,2014-02-01 00:00:04.487352+01,41.910050823,12.496609213
58,2014-02-01 00:00:05.182068+01,41.917559217,12.513273518
196,2014-02-01 00:00:05.429831+01,41.892229824,12.469779213
105,2014-02-01 00:00:06.06672+01,41.897143561,12.47295309
331,2014-02-01 00:00:06.362172+01,41.905504069,12.445064262
362,2014-02-01 00:00:06.508353+01,41.910199341,12.477001647
188,2014-02-01 00:00:06.830676+01,41.921931879,12.490789887
172,2014-02-01 00:00:07.028304+01,41.919885082,12.502718476
352,2014-02-01 00:00:07.040664+01,41.897832532,12.469394747
188,2014-02-01 00:00:07.122411+01,41.922666392,12.487126144
361,2014-02-01 00:00:07.311678+01,41.922472604,12.487366637
321,2014-02-01 00:00:07.629026+01,41.89724661,12.47285113
318,2014-02-01 00:00:07.774661+01,41.883231711,12.469210123
188,2014-02-01 00:00:07.820636+01,41.921931879,12.490789887
317,2014-02-01 00:00:08.452163+01,41.900412222,12.472836866
368,2014-02-01 00:00:08.646102+01,41.890453333,12.474196667
295,2014-02-01 00:00:09.135615+01,41.89578956,12.471920421
197,2014-02-01 00:00:09.207596+01,41.884861233,12.47064281
298,2014-02-01 00:00:09.534952+01,41.893797484,12.47038004
232,2014-02-01 00:00:09.889075+01,41.903829275,12.484451713
315,2014-02-01 00:00:10.098237+01,41.900065358,12.45728872
2,2014-02-01 00:00:10.168741+01,41.908130099,12.504366899
135,2014-02-01 00:00:10.198107+01,41.933189952,12.511784705
248,2014-02-01 00:00:10.709166+01,41.895901992,12.476881887
